
"Date","Price","Open","High","Low","Change %"
"Mar 14, 2018","1,071.40","1,070.65","1,073.44","1,068.61","0.08%"
"Mar 13, 2018","1,070.54","1,072.59","1,074.91","1,067.10","-0.20%"
"Mar 12, 2018","1,072.68","1,075.65","1,076.10","1,068.73","-0.27%"
"Mar 09, 2018","1,075.57","1,073.30","1,076.01","1,068.72","0.16%"
"Mar 08, 2018","1,073.81","1,068.22","1,075.38","1,066.14","0.54%"
"Mar 07, 2018","1,068.08","1,076.03","1,079.59","1,066.04","-0.74%"
"Mar 06, 2018","1,076.02","1,070.40","1,078.62","1,069.49","0.53%"
"Mar 05, 2018","1,070.38","1,073.07","1,081.02","1,069.04","-0.28%"
"Mar 02, 2018","1,073.43","1,073.20","1,077.26","1,069.40","-0.01%"
"Mar 01, 2018","1,073.59","1,080.85","1,082.12","1,068.71","-0.69%"
"Feb 28, 2018","1,081.03","1,078.06","1,082.22","1,076.08","0.29%"
"Feb 27, 2018","1,077.89","1,082.56","1,084.21","1,073.95","-0.43%"
"Feb 26, 2018","1,082.51","1,080.90","1,088.42","1,079.87","0.14%"
"Feb 23, 2018","1,081.01","1,079.95","1,082.36","1,077.99","0.07%"
"Feb 22, 2018","1,080.21","1,078.34","1,081.32","1,075.76","0.17%"
"Feb 21, 2018","1,078.33","1,077.69","1,082.81","1,075.19","0.07%"
"Feb 20, 2018","1,077.57","1,085.53","1,087.68","1,076.88","-0.72%"
"Feb 19, 2018","1,085.38","1,086.39","1,089.30","1,084.40","-0.10%"
"Feb 16, 2018","1,086.45","1,081.94","1,089.58","1,080.84","0.39%"
"Feb 15, 2018","1,082.19","1,084.59","1,087.99","1,081.01","-0.23%"
"Feb 14, 2018","1,084.68","1,076.30","1,090.63","1,071.30","0.78%"
"Feb 13, 2018","1,076.30","1,075.95","1,079.75","1,071.16","0.03%"
"Feb 12, 2018","1,075.98","1,074.40","1,081.03","1,072.88","-0.01%"
"Feb 09, 2018","1,076.13","1,077.18","1,079.68","1,070.56","-0.08%"
"Feb 08, 2018","1,077.03","1,075.43","1,080.03","1,068.03","0.14%"
"Feb 07, 2018","1,075.57","1,070.51","1,076.94","1,069.61","0.50%"
"Feb 06, 2018","1,070.18","1,082.87","1,088.79","1,066.57","-1.19%"
"Feb 05, 2018","1,083.04","1,070.34","1,084.04","1,067.57","1.25%"
"Feb 02, 2018","1,069.68","1,077.99","1,079.89","1,066.58","-0.80%"
